Date,Open,High,Low,Close,Adj Close,Volume
2017-07-20,203.062546,205.687546,201.187546,201.862549,199.384109,3568831
2017-07-21,212.925049,218.175049,210.187546,214.537552,211.903488,21856331
2017-07-24,217.650055,220.125061,216.937561,218.662552,215.977844,8739807
2017-07-25,219.637558,219.712555,216.750061,217.162552,214.496246,4496634
2017-07-26,217.500061,218.625061,215.850052,217.012558,214.348099,3960788
2017-07-27,217.500061,219.937561,215.437546,217.275055,214.607376,7874171
2017-07-28,217.500061,218.137558,215.925049,216.787552,214.125854,3244021
2017-07-31,217.500061,217.875061,215.550049,216.337555,213.681396,3400540
2017-08-01,216.750061,221.962555,216.750061,221.100052,218.385391,5380227
2017-08-02,220.500061,223.275055,219.750061,220.350052,217.644623,3234817
2017-08-03,221.025055,221.550049,216.450058,216.825058,214.162918,4861098
2017-08-04,217.350052,219.900055,216.750061,217.050049,214.385132,3398028
2017-08-07,217.200058,217.425049,215.325058,215.812546,213.162827,1960664
2017-08-08,218.475052,218.662552,213.675049,215.550049,212.903549,3639883
2017-08-09,215.325058,216.412552,214.425049,214.875046,212.236832,1453132
2017-08-10,214.500046,217.087555,214.312546,216.112549,213.459137,3611124
2017-08-11,216.000061,220.912552,215.775055,217.275055,214.607376,4733194
2017-08-14,217.537552,218.175049,215.437546,216.375061,213.718430,2146076
2017-08-16,217.050049,217.575058,216.000061,217.462555,214.792587,2681711
2017-08-17,218.175049,218.250061,216.000061,216.262558,213.607315,3516457
2017-08-18,216.037552,218.250061,215.925049,216.075058,213.422119,3974449
2017-08-21,217.012558,218.400055,215.475052,215.775055,213.125793,3806679
2017-08-22,217.875061,219.750061,216.675049,217.687561,215.014832,3619360
2017-08-23,218.325058,218.850052,217.200058,217.500061,214.829620,3111704
2017-08-24,217.837555,218.250061,216.600052,217.050049,214.385132,3706789
2017-08-28,217.500061,218.850052,217.275055,218.025055,215.348175,2857892
2017-08-29,218.100052,219.000061,217.575058,218.062561,215.385223,2345903
2017-08-30,218.587555,219.000061,217.950058,218.400055,215.718552,2449842
2017-08-31,221.250061,225.375061,220.575058,224.325058,221.570816,13792857
2017-09-01,223.500061,223.725052,221.850052,222.337555,219.607712,4267814
2017-09-04,222.712555,223.500061,221.775055,222.975052,220.237396,4010021
2017-09-05,223.050049,223.800049,222.300049,222.937561,220.200363,3894507
2017-09-06,222.750061,223.425049,222.075058,222.900055,220.163315,4121648
2017-09-07,223.500061,224.925049,223.125061,224.212555,221.459702,4455038
2017-09-08,225.000061,226.275055,223.875061,225.375061,222.607910,6023293
2017-09-11,226.050049,227.550049,225.187561,225.862549,223.089417,7137795
2017-09-12,226.575058,227.175049,223.125061,223.575058,220.830017,10455742
2017-09-13,223.575058,224.775055,221.475052,221.925049,219.200272,8842037
2017-09-14,211.125046,216.675049,210.900055,212.587555,209.977417,7751884
2017-09-15,215.250046,215.437546,211.237549,214.312546,211.681244,7500639
2017-09-18,212.625046,217.500061,212.625046,216.975052,214.311066,2430328
2017-09-19,216.975052,218.587555,215.625046,216.937561,214.274033,2278616
2017-09-20,216.637558,219.112549,214.687546,218.925049,216.237122,2856472
2017-09-21,217.950058,219.675049,217.275055,218.925049,216.237122,2477218
2017-09-22,217.987549,221.212555,217.837555,220.837555,218.126144,4048581
2017-09-25,219.900055,220.912552,217.575058,218.925049,216.237122,1789390
2017-09-26,218.250061,219.225052,216.787552,217.687561,215.014832,2069335
2017-09-27,217.987549,218.100052,215.475052,216.225052,213.570267,3051427
2017-09-28,217.237549,217.687561,213.675049,214.425049,211.792374,5322220
2017-09-29,215.437546,215.925049,209.400055,210.187546,207.606888,2118075
2017-10-03,211.050049,214.237549,210.187546,212.212555,209.607040,1715072
2017-10-04,212.175049,214.687546,211.200058,212.062546,209.458862,1167463
2017-10-05,212.700058,213.750046,211.462555,212.700058,210.088547,773538
2017-10-06,213.750046,215.250046,212.812546,214.950058,212.310928,1991131
2017-10-09,214.462555,215.475052,213.412552,215.100052,212.459091,675153
2017-10-10,215.100052,216.225052,213.750046,215.250046,212.607239,1217697
2017-10-11,215.212555,218.887558,214.650055,217.987549,215.311127,2556884
2017-10-12,218.250061,221.250061,217.425049,220.087555,217.385345,2303999
2017-10-13,220.912552,221.812561,218.100052,218.925049,216.237122,2111324
2017-10-16,218.925049,219.337555,215.437546,218.025055,215.348175,3469223
2017-10-17,219.000061,219.487549,214.612549,217.387558,214.718506,4920476
2017-10-18,217.200058,224.325058,217.200058,221.062561,218.348373,7266162
2017-10-19,221.100052,221.100052,218.325058,219.037552,216.348236,369758
2017-10-23,219.525055,223.050049,219.225052,222.675049,219.941071,3732987
2017-10-24,222.337555,224.175049,221.325058,222.600052,219.866989,1989343
2017-10-25,222.975052,226.387558,222.000061,224.175049,221.422653,2301420
2017-10-26,223.350052,227.962555,222.862549,226.725052,223.941345,5035328
2017-10-27,224.550049,224.962555,221.250061,222.712555,219.978119,1638903
2017-10-30,222.225052,222.225052,219.037552,219.937561,217.237198,1904959
2017-10-31,219.937561,222.337555,219.525055,220.537552,217.829803,1443066
2017-11-01,222.000061,222.487549,219.787552,220.162552,217.459427,1138745
2017-11-02,220.125061,221.775055,219.712555,219.937561,217.237198,1282167
2017-11-03,220.312561,221.887558,220.200058,220.912552,218.200226,1053762
2017-11-06,220.425049,225.750061,220.087555,224.887558,222.126404,1938264
2017-11-07,224.887558,231.562561,223.687561,226.687561,223.904312,7580592
2017-11-08,227.812561,229.950058,225.787552,226.800049,224.015411,2627774
2017-11-09,227.250061,228.337555,224.700058,226.875061,224.089493,1276518
2017-11-10,226.912552,228.000061,223.687561,226.987549,224.200623,2107002
2017-11-13,225.225052,228.300064,223.537552,223.950058,221.200424,1036785
2017-11-14,224.850052,225.112549,221.587555,223.875061,221.126343,1772860
2017-11-15,223.875061,224.812561,220.575058,222.375061,219.644760,1959342
2017-11-16,223.500061,224.362549,221.025055,223.237549,220.496658,2423075
2017-11-17,223.650055,224.137558,220.875061,221.362549,218.644669,2320106
2017-11-20,221.325058,222.675049,219.300049,220.762558,218.052063,2571259
2017-11-21,222.862549,223.500061,219.862549,220.500061,217.792786,2747191
2017-11-22,221.775055,221.775055,219.750061,220.725052,218.015015,1695895
2017-11-23,221.400055,221.400055,219.825058,220.162552,217.459427,901925
2017-11-24,220.800049,220.800049,218.250061,219.525055,216.829758,2144656
2017-11-27,218.437561,221.512558,218.250061,221.100052,218.385391,1398451
2017-11-28,221.250061,221.925049,219.975052,221.137558,218.422455,2004730
2017-11-29,221.250061,224.400055,220.125061,223.987549,221.237442,3367737
2017-11-30,224.512558,225.337555,217.012558,218.925049,216.237122,9132744
2017-12-01,219.000061,220.387558,216.037552,217.050049,214.385132,1904372
2017-12-04,215.212555,218.325058,212.062546,217.462555,214.792587,4395321
2017-12-05,216.450058,216.450058,212.025055,212.587555,209.977417,2478115
2017-12-06,212.475052,213.337555,210.450058,211.875046,209.273651,2879963
2017-12-07,212.662552,213.562546,210.000046,210.900055,208.310638,3365999
2017-12-08,212.025055,214.500046,211.200058,212.175049,209.569977,2421898
2017-12-11,213.150055,217.500061,213.150055,217.050049,214.385132,2062938
2017-12-12,217.875061,218.512558,213.900055,215.850052,213.199860,1657274
2017-12-13,216.300049,217.087555,213.937546,215.400055,212.755402,1455708
2017-12-14,216.300049,217.875061,211.762558,216.450058,213.792511,1687572
2017-12-15,216.450058,218.062561,215.025055,217.275055,214.607376,2465486
2017-12-18,215.250046,223.312561,213.187546,221.850052,219.126190,3445253
2017-12-19,221.250061,222.712555,217.912552,219.300049,216.607498,5091917
2017-12-20,221.137558,223.875061,219.300049,222.375061,219.644760,3540805
2017-12-21,221.850052,224.250061,220.800049,223.312561,220.570740,1855640
2017-12-22,223.500061,227.550049,222.037552,226.200058,223.422791,2344778
2017-12-26,225.937561,230.250061,223.612549,227.175049,224.385818,2474047
2017-12-27,227.925049,231.000061,225.037552,229.950058,227.126770,2420976
2017-12-28,229.425064,232.425064,226.875061,231.000061,228.163879,6729694
2017-12-29,229.050064,237.300064,227.250061,235.687561,232.793823,5034996
2018-01-01,233.625061,240.000061,232.087555,237.412552,234.497635,4467194
2018-01-02,236.887558,243.000061,235.837555,239.025055,236.090332,3832689
2018-01-03,240.300064,240.300064,231.562561,232.462555,229.608414,2930235
2018-01-04,232.575058,234.750061,230.587555,233.737564,230.867752,1952778
2018-01-05,234.750061,235.425064,230.775055,232.162552,229.312103,2150939
2018-01-08,232.500061,234.675064,231.825058,233.362564,230.497360,2380330
2018-01-09,234.450058,240.000061,229.800064,237.900055,234.979156,6100761
2018-01-10,237.300064,245.887558,236.325058,245.025055,242.016678,5081516
2018-01-11,242.662567,244.537567,239.250061,240.825058,237.868225,2821948
2018-01-12,240.750061,242.812561,237.900055,239.100052,236.164398,4216884
2018-01-15,239.137558,243.187561,235.050064,236.250061,233.349411,1593612
2018-01-16,237.675064,250.500061,237.000061,248.962555,245.905823,8221924
2018-01-17,249.750061,250.125061,243.750061,244.275055,241.275879,4056673
2018-01-18,245.250061,246.187561,241.612564,244.012558,241.016602,2361040
2018-01-19,245.250061,247.500061,240.375061,246.712555,243.683441,2144134
2018-01-22,237.750061,246.712555,237.750061,241.162567,238.201599,6096757
2018-01-23,241.575058,242.212555,235.050064,236.437561,233.534607,4306701
2018-01-24,237.375061,242.550064,234.150055,235.462555,232.571564,8771028
2018-01-25,236.775055,238.500061,231.562561,233.962555,231.089996,11064915
2018-01-29,235.575058,237.075058,232.200058,233.362564,230.497360,4698634
2018-01-30,232.162552,234.225052,228.525055,230.475052,227.645309,3039996
2018-01-31,229.575058,231.712555,226.162552,228.525055,226.456177,3765216
2018-02-01,228.787552,231.825058,225.000061,225.562561,223.520508,2936436
2018-02-02,224.475052,226.837555,221.400055,225.450058,223.409012,3356831
2018-02-05,223.500061,229.162552,221.962555,224.062561,222.034088,2925527
2018-02-06,218.775055,222.112549,217.575058,220.987549,218.986908,3244655
2018-02-07,223.650055,223.650055,216.000061,217.012558,215.047897,3331381
2018-02-08,217.575058,220.987549,215.287552,217.350052,215.382339,7062754
2018-02-09,216.750061,216.750061,213.000046,213.750046,211.814941,4202634
2018-02-12,215.925049,218.212555,214.425049,216.712555,214.750626,3361144
2018-02-14,217.500061,222.562561,217.162552,220.087555,218.095047,4031561
2018-02-15,221.700058,221.700058,217.837555,219.375061,217.389008,2207532
2018-02-16,219.712555,221.925049,217.537552,218.250061,216.274216,4104522
2018-02-19,219.750061,219.750061,216.600052,217.462555,215.493835,2210435
2018-02-20,217.500061,219.937561,216.825058,218.587555,216.608643,4580312
2018-02-21,220.500061,221.137558,217.912552,219.150055,217.166061,6874135
2018-02-22,219.675049,220.687561,218.287552,219.487549,217.500504,6419250
2018-02-23,221.625061,221.962555,219.225052,221.250061,219.247055,4889884
2018-02-26,221.100052,221.775055,217.800049,218.700058,216.720123,6709467
2018-02-27,219.337555,220.762558,218.362549,218.812561,216.831604,5233517
2018-02-28,219.750061,220.350052,216.750061,219.600052,217.611969,6862287
2018-03-01,219.600052,220.575058,218.400055,219.375061,217.389008,5447711
2018-03-05,220.200058,220.312561,217.350052,218.212555,216.237045,4998325
2018-03-06,218.437561,218.962555,214.612549,215.212555,213.264191,6302115
2018-03-07,216.337555,218.137558,213.225052,214.012558,212.075058,2434170
2018-03-08,214.837555,215.812546,212.362549,213.900055,211.963577,2693676
2018-03-09,213.750046,215.925049,213.075058,213.787552,211.852097,1340727
2018-03-12,214.725052,219.000061,214.575058,218.025055,216.051224,2329131
2018-03-13,219.375061,224.550049,219.375061,222.450058,220.436172,4273121
2018-03-14,221.250061,222.450058,219.750061,220.387558,218.392334,2773668
2018-03-15,221.587555,226.500061,219.000061,220.050049,218.057892,6590570
2018-03-16,221.250061,222.862549,218.287552,221.812561,219.804443,6445545
2018-03-19,220.162552,222.375061,214.950058,216.487549,214.527649,1981635
2018-03-20,215.175049,221.400055,213.487549,220.200058,218.206558,4032277
2018-03-21,220.875061,222.225052,218.400055,221.437561,219.432846,4191414
2018-03-22,220.350052,221.250061,215.362549,216.337555,214.379013,2518420
2018-03-23,213.037552,215.700058,212.287552,213.487549,211.554810,4385853
2018-03-26,213.450058,214.200058,204.262558,205.500046,203.639618,9372121
2018-03-27,209.212555,210.600052,204.937546,205.537552,203.676788,7119807
2018-03-28,205.500046,212.625046,204.750046,210.862549,208.953568,6926560
2018-04-02,212.625046,218.100052,209.100052,217.237549,215.270859,3271909
2018-04-03,215.475052,215.512558,212.287552,212.925049,210.997406,2150304
2018-04-04,213.750046,214.875046,210.000046,211.200058,209.288025,2179020
2018-04-05,212.250046,215.025055,212.250046,214.687546,212.743942,1406814
2018-04-06,214.500046,214.500046,212.475052,212.962555,211.034576,901137
2018-04-09,213.525055,214.537552,212.437546,213.787552,211.852097,1493212
2018-04-10,210.450058,216.300049,208.312546,214.500046,212.558136,5836911
